id,timestamp,interval,amount,meterAccount_id
608236,1350975600,3600,1.033,40
608237,1350979200,3600,1.534,40
608238,1350982800,3600,1.821,40
608239,1350986400,3600,1.784,40
608240,1350990000,3600,1.271,40
608241,1350993600,3600,0.317,40
608242,1350997200,3600,0.308,40
608243,1351000800,3600,0.696,40
608244,1351004400,3600,0.445,40
608245,1351008000,3600,1.835,40
608246,1351011600,3600,5.125,40
608247,1351015200,3600,5.248,40
608248,1351018800,3600,4.421,40
608249,1351022400,3600,1.394,40
608250,1351026000,3600,0.941,40
608251,1351029600,3600,0.867,40
608252,1351033200,3600,1.142,40
608253,1351036800,3600,1.239,40
608254,1351040400,3600,1.219,40
608255,1351044000,3600,1.754,40
608256,1351047600,3600,1.201,40
608257,1351051200,3600,1.684,40
608258,1351054800,3600,1.428,40
608259,1351058400,3600,4.915,40
608260,1351062000,3600,2.429,40
608261,1351065600,3600,1.857,40
608262,1351069200,3600,1.879,40
608263,1351072800,3600,0.773,40
608264,1351076400,3600,0.345,40
608265,1351080000,3600,0.362,40
608266,1351083600,3600,0.62,40
608267,1351087200,3600,0.464,40
608268,1351090800,3600,1.754,40
608269,1351094400,3600,4.047,40
608270,1351098000,3600,2.165,40
608271,1351101600,3600,4.676,40
608272,1351105200,3600,1.316,40
608273,1351108800,3600,0.192,40
608274,1351112400,3600,0.48,40
608275,1351116000,3600,0.181,40
608276,1351119600,3600,0.185,40
608277,1351123200,3600,0.506,40
608278,1351126800,3600,0.287,40
608279,1351130400,3600,0.31,40
608280,1351134000,3600,1.691,40
608281,1351137600,3600,1.829,40
608282,1351141200,3600,2.15,40
608283,1351144800,3600,2.389,40
608284,1351148400,3600,0.79,40
608285,1351152000,3600,1.81,40
608286,1351155600,3600,1.827,40
608287,1351159200,3600,0.696,40
608288,1351162800,3600,0.556,40
608289,1351166400,3600,0.299,40
608290,1351170000,3600,0.316,40
608291,1351173600,3600,0.266,40
608292,1351177200,3600,1.369,40
608293,1351180800,3600,5.043,40
608294,1351184400,3600,1.273,40
608295,1351188000,3600,0.526,40
608296,1351191600,3600,0.179,40
608297,1351195200,3600,0.466,40
608298,1351198800,3600,0.435,40
608299,1351202400,3600,4.077,40
608300,1351206000,3600,1.663,40
608301,1351209600,3600,1.639,40
608302,1351213200,3600,0.4,40
608303,1351216800,3600,3.072,40
608304,1351220400,3600,4.118,40
608305,1351224000,3600,0.592,40
608306,1351227600,3600,0.314,40
608307,1351231200,3600,2.009,40
608308,1351234800,3600,3.736,40
608309,1351238400,3600,0.341,40
608310,1351242000,3600,0.61,40
608311,1351245600,3600,0.305,40
608312,1351249200,3600,0.565,40
608313,1351252800,3600,0.347,40
608314,1351256400,3600,0.408,40
608315,1351260000,3600,0.253,40
608316,1351263600,3600,0.546,40
608317,1351267200,3600,2.567,40
608318,1351270800,3600,1.349,40
608319,1351274400,3600,3.55,40
608320,1351278000,3600,1.848,40
608321,1351281600,3600,0.643,40
608322,1351285200,3600,1.148,40
608323,1351288800,3600,0.185,40
608324,1351292400,3600,0.459,40
608325,1351296000,3600,0.499,40
608326,1351299600,3600,0.404,40
608327,1351303200,3600,4.85,40
608328,1351306800,3600,2.278,40
608329,1351310400,3600,2.699,40
608330,1351314000,3600,0.372,40
608331,1351317600,3600,0.601,40
608332,1351321200,3600,0.332,40
608333,1351324800,3600,1.88,40
608334,1351328400,3600,0.6,40
608335,1351332000,3600,0.305,40
608336,1351335600,3600,0.305,40
608337,1351339200,3600,0.584,40
608338,1351342800,3600,0.304,40
608339,1351346400,3600,0.247,40
608340,1351350000,3600,0.453,40
608341,1351353600,3600,0.195,40
608342,1351357200,3600,1.727,40
608343,1351360800,3600,2.021,40
608344,1351364400,3600,2.47,40
608345,1351368000,3600,0.533,40
608346,1351371600,3600,2.944,40
608347,1351375200,3600,1.794,40
608348,1351378800,3600,3.745,40
608349,1351382400,3600,7.304,40
608350,1351386000,3600,1.864,40
608351,1351389600,3600,0.646,40
608352,1351393200,3600,0.322,40
608353,1351396800,3600,0.299,40
608354,1351400400,3600,0.605,40
608355,1351404000,3600,0.302,40
608356,1351407600,3600,0.437,40
608357,1351411200,3600,1.739,40
608358,1351414800,3600,0.602,40
608359,1351418400,3600,0.299,40
608360,1351422000,3600,0.32,40
608361,1351425600,3600,0.572,40
608362,1351429200,3600,0.308,40
608363,1351432800,3600,0.149,40
608364,1351436400,3600,0.477,40
608365,1351440000,3600,0.5,40
608366,1351443600,3600,2.322,40
608367,1351447200,3600,2.537,40
608368,1351450800,3600,3.225,40
608369,1351454400,3600,2.084,40
608370,1351458000,3600,0.662,40
608371,1351461600,3600,0.76,40
608372,1351465200,3600,0.907,40
608373,1351468800,3600,0.622,40
608374,1351472400,3600,1.645,40
608375,1351476000,3600,1.186,40
608376,1351479600,3600,1.275,40
608377,1351483200,3600,1.985,40
608378,1351486800,3600,1.442,40
608379,1351490400,3600,4.336,40
608380,1351494000,3600,0.631,40
608381,1351497600,3600,1.813,40
608382,1351501200,3600,3.095,40
608383,1351504800,3600,0.652,40
608384,1351508400,3600,0.341,40
608385,1351512000,3600,0.672,40
608386,1351515600,3600,0.354,40
608387,1351519200,3600,0.188,40
608388,1351522800,3600,0.512,40
608389,1351526400,3600,1.93,40
608390,1351530000,3600,1.868,40
608391,1351533600,3600,1.13,40
608392,1351537200,3600,3.347,40
608393,1351540800,3600,3.103,40
608394,1351544400,3600,2.861,40
608395,1351548000,3600,1.513,40
608396,1351551600,3600,0.502,40
608397,1351555200,3600,0.191,40
608398,1351558800,3600,0.328,40
608399,1351562400,3600,0.704,40
608400,1351566000,3600,0.313,40
608401,1351569600,3600,0.308,40
608402,1351573200,3600,0.585,40
608403,1351576800,3600,0.307,40
608404,1351580400,3600,0.713,40
608405,1351584000,3600,1.729,40
608406,1351587600,3600,0.722,40
608407,1351591200,3600,0.431,40
608408,1351594800,3600,0.445,40
608409,1351598400,3600,0.685,40
608410,1351602000,3600,0.449,40
608411,1351605600,3600,0.282,40
608412,1351609200,3600,0.571,40
608413,1351612800,3600,4.121,40
608414,1351616400,3600,3.437,40
608415,1351620000,3600,2.365,40
608416,1351623600,3600,1.126,40
608417,1351627200,3600,0.639,40
608418,1351630800,3600,1.252,40
608419,1351634400,3600,0.658,40
608420,1351638000,3600,0.979,40
608421,1351641600,3600,0.688,40
608422,1351645200,3600,1.116,40
608423,1351648800,3600,2.325,40
608424,1351652400,3600,1.274,40
608425,1351656000,3600,0.959,40
608426,1351659600,3600,0.933,40
608427,1351663200,3600,2.13,40
608428,1351666800,3600,0.359,40
608429,1351670400,3600,0.64,40
608430,1351674000,3600,0.355,40
608431,1351677600,3600,0.363,40
608432,1351681200,3600,0.619,40
608433,1351684800,3600,0.351,40
608434,1351688400,3600,0.371,40
608435,1351692000,3600,0.537,40
608436,1351695600,3600,0.494,40
608437,1351699200,3600,1.98,40
608438,1351702800,3600,1.673,40
608439,1351706400,3600,4.563,40
608440,1351710000,3600,4.828,40
608441,1351713600,3600,2.147,40
608442,1351717200,3600,3.298,40
608443,1351720800,3600,0.275,40
608444,1351724400,3600,0.608,40
608445,1351728000,3600,0.27,40
608446,1351731600,3600,0.676,40
608447,1351735200,3600,0.393,40
608448,1351738800,3600,0.412,40
608449,1351742400,3600,0.836,40
608450,1351746000,3600,1.546,40
608451,1351749600,3600,1.732,40
608452,1351753200,3600,1.669,40
608453,1351756800,3600,1.181,40
608454,1351760400,3600,0.572,40
608455,1351764000,3600,0.32,40
608456,1351767600,3600,0.314,40
608457,1351771200,3600,0.592,40
608458,1351774800,3600,0.304,40
608459,1351778400,3600,0.245,40
608460,1351782000,3600,0.455,40
608461,1351785600,3600,1.597,40
608462,1351789200,3600,3.203,40
608463,1351792800,3600,1.328,40
608464,1351796400,3600,1.045,40
608465,1351800000,3600,0.556,40
608466,1351803600,3600,0.279,40
608467,1351807200,3600,0.295,40
608468,1351810800,3600,0.523,40
608469,1351814400,3600,1.056,40
608470,1351818000,3600,3.728,40
608471,1351821600,3600,0.818,40
608472,1351825200,3600,0.581,40
608473,1351828800,3600,0.844,40
608474,1351832400,3600,0.449,40
608475,1351836000,3600,0.763,40
608476,1351839600,3600,1.676,40
608477,1351843200,3600,0.683,40
608478,1351846800,3600,0.64,40
608479,1351850400,3600,0.339,40
608480,1351854000,3600,0.611,40
608481,1351857600,3600,0.347,40
608482,1351861200,3600,0.344,40
608483,1351864800,3600,0.55,40
608484,1351868400,3600,0.249,40
