id,timestamp,interval,amount,meterAccount_id
299587,1357027200,900,0.012,20
299588,1357028100,900,0.006,20
299589,1357029000,900,0.021,20
299590,1357029900,900,0,20
299591,1357030800,900,0.026,20
299592,1357031700,900,0,20
299593,1357032600,900,0.023,20
299594,1357033500,900,0.004,20
299595,1357034400,900,0.013,20
299596,1357035300,900,0.013,20
299597,1357036200,900,0.002,20
299598,1357037100,900,0.024,20
299599,1357038000,900,0,20
299600,1357038900,900,0.026,20
299601,1357039800,900,0,20
299602,1357040700,900,0.016,20
299603,1357041600,900,0.01,20
299604,1357042500,900,0.003,20
299605,1357043400,900,0.023,20
299606,1357044300,900,0,20
299607,1357045200,900,0.026,20
299608,1357046100,900,0,20
299609,1357047000,900,0.013,20
299610,1357047900,900,0.013,20
299611,1357048800,900,0,20
299612,1357049700,900,0.026,20
299613,1357050600,900,0,20
299614,1357051500,900,0.021,20
299615,1357052400,900,0.005,20
299616,1357053300,900,0.005,20
299617,1357054200,900,0.021,20
299618,1357055100,900,0,20
299619,1357056000,900,0.025,20
299620,1357056900,900,0.001,20
299621,1357057800,900,0.009,20
299622,1357058700,900,0.017,20
299623,1357059600,900,0,20
299624,1357060500,900,0.026,20
299625,1357061400,900,0,20
299626,1357062300,900,0.011,20
299627,1357063200,900,0.014,20
299628,1357064100,900,0,20
299629,1357065000,900,0.026,20
299630,1357065900,900,0,20
299631,1357066800,900,0.015,20
299632,1357067700,900,0.01,20
299633,1357068600,900,0,20
299634,1357069500,900,0.075,20
299635,1357070400,900,0.014,20
299636,1357071300,900,0.041,20
299637,1357072200,900,0.036,20
299638,1357073100,900,0.007,20
299639,1357074000,900,0.004,20
299640,1357074900,900,0.027,20
299641,1357075800,900,0,20
299642,1357076700,900,0.018,20
299643,1357077600,900,0.012,20
299644,1357078500,900,0,20
299645,1357079400,900,0.03,20
299646,1357080300,900,0,20
299647,1357081200,900,0.018,20
299648,1357082100,900,0.013,20
299649,1357083000,900,0.002,20
299650,1357083900,900,0.029,20
299651,1357084800,900,0,20
299652,1357085700,900,0.025,20
299653,1357086600,900,0.006,20
299654,1357087500,900,0.012,20
299655,1357088400,900,0.017,20
299656,1357089300,900,0.001,20
299657,1357090200,900,0.029,20
299658,1357091100,900,0,20
299659,1357092000,900,0.026,20
299660,1357092900,900,0.003,20
299661,1357093800,900,0.014,20
299662,1357094700,900,0.014,20
299663,1357095600,900,0.003,20
299664,1357096500,900,0.026,20
299665,1357097400,900,0,20
299666,1357098300,900,0.027,20
299667,1357099200,900,0.001,20
299668,1357100100,900,0.016,20
299669,1357101000,900,0.012,20
299670,1357101900,900,0.004,20
299671,1357102800,900,0.024,20
299672,1357103700,900,0,20
299673,1357104600,900,0.027,20
299674,1357105500,900,0,20
299675,1357106400,900,0.018,20
299676,1357107300,900,0.01,20
299677,1357108200,900,0.005,20
299678,1357109100,900,0.022,20
299679,1357110000,900,0,20
299680,1357110900,900,0.028,20
299681,1357111800,900,0,20
299682,1357112700,900,0.014,20
299683,1357113600,900,0.013,20
299684,1357114500,900,0.001,20
299685,1357115400,900,0.026,20
299686,1357116300,900,0,20
299687,1357117200,900,0.023,20
299688,1357118100,900,0.005,20
299689,1357119000,900,0.009,20
299690,1357119900,900,0.018,20
299691,1357120800,900,0,20
299692,1357121700,900,0.027,20
299693,1357122600,900,0,20
299694,1357123500,900,0.012,20
299695,1357124400,900,0.014,20
299696,1357125300,900,0,20
299697,1357126200,900,0.026,20
299698,1357127100,900,0,20
299699,1357128000,900,0.016,20
299700,1357128900,900,0.01,20
299701,1357129800,900,0,20
299702,1357130700,900,0.026,20
299703,1357131600,900,0,20
299704,1357132500,900,0.016,20
299705,1357133400,900,0.01,20
299706,1357134300,900,0,20
299707,1357135200,900,0.026,20
299708,1357136100,900,0,20
299709,1357137000,900,0.013,20
299710,1357137900,900,0.013,20
299711,1357138800,900,0,20
299712,1357139700,900,0.026,20
299713,1357140600,900,0,20
299714,1357141500,900,0.004,20
299715,1357142400,900,0.022,20
299716,1357143300,900,0,20
299717,1357144200,900,0.017,20
299718,1357145100,900,0.009,20
299719,1357146000,900,0,20
299720,1357146900,900,0.026,20
299721,1357147800,900,0,20
299722,1357148700,900,0.004,20
299723,1357149600,900,0.023,20
299724,1357150500,900,0,20
299725,1357151400,900,0.014,20
299726,1357152300,900,0.012,20
299727,1357153200,900,0,20
299728,1357154100,900,0.025,20
299729,1357155000,900,0.001,20
299730,1357155900,900,0.001,20
299731,1357156800,900,0.026,20
299732,1357157700,900,0,20
299733,1357158600,900,0.012,20
299734,1357159500,900,0.016,20
299735,1357160400,900,0,20
299736,1357161300,900,0.023,20
299737,1357162200,900,0.005,20
299738,1357163100,900,0,20
299739,1357164000,900,0.029,20
299740,1357164900,900,0,20
299741,1357165800,900,0.014,20
299742,1357166700,900,0.016,20
299743,1357167600,900,0,20
299744,1357168500,900,0.031,20
299745,1357169400,900,0,20
299746,1357170300,900,0.014,20
299747,1357171200,900,0.018,20
299748,1357172100,900,0,20
299749,1357173000,900,0.031,20
299750,1357173900,900,0,20
299751,1357174800,900,0.019,20
299752,1357175700,900,0.012,20
299753,1357176600,900,0.004,20
299754,1357177500,900,0.026,20
299755,1357178400,900,0,20
299756,1357179300,900,0.032,20
299757,1357180200,900,0.055,20
299758,1357181100,900,0.031,20
299759,1357182000,900,0.037,20
299760,1357182900,900,0.03,20
299761,1357183800,900,0,20
299762,1357184700,900,0.02,20
299763,1357185600,900,0.015,20
299764,1357186500,900,0,20
299765,1357187400,900,0.032,20
299766,1357188300,900,0,20
299767,1357189200,900,0.013,20
299768,1357190100,900,0.018,20
299769,1357191000,900,0,20
299770,1357191900,900,0.029,20
299771,1357192800,900,0.001,20
299772,1357193700,900,0.011,20
299773,1357194600,900,0.019,20
299774,1357195500,900,0,20
299775,1357196400,900,0.029,20
299776,1357197300,900,0,20
299777,1357198200,900,0.012,20
299778,1357199100,900,0.017,20
299779,1357200000,900,0,20
299780,1357200900,900,0.029,20
299781,1357201800,900,0,20
299782,1357202700,900,0.01,20
299783,1357203600,900,0.019,20
299784,1357204500,900,0,20
299785,1357205400,900,0.027,20
299786,1357206300,900,0.002,20
299787,1357207200,900,0.007,20
299788,1357208100,900,0.022,20
299789,1357209000,900,0,20
